taxid,rank,date,shield_no
941037,POLICE OFFICER,1/9/2006,20343
941037,DETECTIVE,7/27/2018,1834
931723,POLICE OFFICER,7/1/2002,2103
931723,SERGEANT,6/24/2011,4168
931723,LIEUTENANT,6/28/2019,
938648,POLICE OFFICER,7/11/2005,31441
938648,DETECTIVE,9/28/2017,3603
938648,DETECTIVE,10/2/2023,5856
947070,POLICE OFFICER,7/8/2008,6473
944641,POLICE OFFICER,7/9/2007,8253
944641,DETECTIVE,6/10/2021,2859
958687,POLICE OFFICER,7/8/2015,18173
982338,POLICE OFFICER,4/30/2025,23951
923940,POLICE OFFICER,7/7/1999,8059
923940,SERGEANT,11/30/2005,1086
923940,LIEUTENANT,9/28/2011,
923940,LT SPECIAL ASSIGN,7/21/2022,
945810,POLICE OFFICER,1/7/2008,23558
945810,SERGEANT,8/31/2015,4955
945810,LIEUTENANT,2/26/2020,
952840,POLICE OFFICER,7/11/2012,31755
952840,DETECTIVE,5/31/2024,1206
964048,POLICE OFFICER,7/5/2017,23407
940249,POLICE OFFICER,1/9/2006,3200
949092,POLICE OFFICER,7/6/2010,11888
949092,DETECTIVE,4/1/2022,3564
979923,POLICE OFFICER,7/3/2024,376
982792,POLICE OFFICER,5/14/2025,22268
949094,POLICE OFFICER,7/6/2010,15756
949094,SERGEANT,7/28/2017,3316
966616,POLICE OFFICER,10/24/2018,15119
960652,POLICE OFFICER,1/6/2016,16141
960652,SERGEANT,5/30/2023,908
965178,POLICE OFFICER,1/10/2018,25518
969780,POLICE OFFICER,11/2/2020,21980
954926,POLICE OFFICER,7/9/2013,13171
954926,DETECTIVE,12/23/2024,2114
951812,POLICE OFFICER,1/9/2012,6824
951812,DETECTIVE,7/31/2024,4789
979924,POLICE OFFICER,7/3/2024,12226
947071,POLICE OFFICER,7/8/2008,14788
947071,POLICE OFFICER,1/30/2009,14657
947071,SERGEANT,7/27/2018,2285
947071,SGT DET SQUAD,9/5/2025,
919167,POLICE OFFICER,4/15/1997,29729
919167,SERGEANT,9/27/2002,2019
919167,LIEUTENANT,12/23/2008,
919167,LT DET COMMANDER,12/22/2020,
915880,POLICE OFFICER,6/30/1995,13799
915880,DETECTIVE,6/4/1999,6730
915880,SERGEANT,8/18/2000,5363
915880,LIEUTENANT,11/25/2003,
915880,CAPTAIN,3/30/2007,
915880,DEPUTY INSPECTOR,10/26/2012,
915880,INSPECTOR,3/29/2016,
915880,DEPUTY CHIEF,12/21/2018,
915880,ASSISTANT CHIEF,1/12/2023,
938742,POLICE OFFICER,7/11/2005,14954
958688,POLICE OFFICER,7/8/2015,7541
958688,DETECTIVE,8/30/2024,1334
936701,POLICE OFFICER,1/10/2005,26717
